item,weight_kg,weight_lbs
average mouse,0.028,0.062
adult mouse,0.022,0.049
young mouse,0.025,0.055
fully grown mouse,0.023,0.051
wild mouse,0.025,0.056
healthy mouse,0.026,0.056
male mouse,0.021,0.047
female mouse,0.023,0.05
juvenile mouse,0.023,0.051
mature mouse,0.028,0.062
average rat,0.378,0.833
adult rat,0.314,0.693
young rat,0.381,0.84
fully grown rat,0.312,0.688
wild rat,0.362,0.799
healthy rat,0.311,0.685
male rat,0.298,0.656
female rat,0.389,0.858
juvenile rat,0.319,0.704
mature rat,0.32,0.706
average hamster,0.137,0.303
adult hamster,0.133,0.294
young hamster,0.112,0.248
fully grown hamster,0.137,0.301
wild hamster,0.121,0.268
healthy hamster,0.126,0.279
male hamster,0.109,0.241
female hamster,0.136,0.3
juvenile hamster,0.127,0.28
mature hamster,0.137,0.302
average guinea pig,1.118,2.465
adult guinea pig,0.94,2.072
young guinea pig,0.958,2.113
fully grown guinea pig,0.9,1.984
wild guinea pig,0.894,1.97
healthy guinea pig,0.87,1.917
male guinea pig,0.94,2.073
female guinea pig,1.031,2.273
juvenile guinea pig,0.851,1.876
mature guinea pig,1.053,2.322
average rabbit,1.903,4.195
adult rabbit,1.886,4.158
young rabbit,2.191,4.831
fully grown rabbit,1.988,4.384
wild rabbit,1.889,4.166
healthy rabbit,1.989,4.384
male rabbit,2.123,4.68
female rabbit,1.734,3.823
juvenile rabbit,2.285,5.038
mature rabbit,1.714,3.778
average domestic cat,4.837,10.664
adult domestic cat,4.966,10.947
young domestic cat,3.849,8.486
fully grown domestic cat,4.888,10.777
wild domestic cat,4.319,9.523
healthy domestic cat,4.606,10.154
male domestic cat,3.837,8.46
female domestic cat,3.888,8.572
juvenile domestic cat,4.069,8.971
mature domestic cat,5.114,11.276
average small dog,6.363,14.027
adult small dog,7.537,16.616
young small dog,7.902,17.422
fully grown small dog,7.928,17.479
wild small dog,6.673,14.712
healthy small dog,6.695,14.76
male small dog,7.052,15.547
female small dog,7.579,16.708
juvenile small dog,6.177,13.618
mature small dog,7.522,16.582
average medium dog,23.962,52.826
adult medium dog,24.374,53.735
young medium dog,18.942,41.759
fully grown medium dog,24.942,54.988
wild medium dog,19.302,42.553
healthy medium dog,20.949,46.184
male medium dog,22.731,50.114
female medium dog,24.759,54.585
juvenile medium dog,20.944,46.173
mature medium dog,24.8,54.674
average large dog,35.474,78.207
adult large dog,33.031,72.82
young large dog,33.076,72.921
fully grown large dog,31.614,69.696
wild large dog,30.571,67.398
healthy large dog,31.313,69.034
male large dog,36.986,81.541
female large dog,40.216,88.66
juvenile large dog,31.446,69.327
mature large dog,30.26,66.711
average wolf,51.57,113.693
adult wolf,45.453,100.206
young wolf,43.729,96.407
fully grown wolf,41.454,91.391
wild wolf,46.268,102.005
healthy wolf,49.405,108.919
male wolf,44.401,97.889
female wolf,43.944,96.879
juvenile wolf,39.002,85.985
mature wolf,50.617,111.591
average fox,5.159,11.373
adult fox,5.988,13.202
young fox,6.609,14.571
fully grown fox,5.335,11.762
wild fox,6.417,14.147
healthy fox,6.81,15.013
male fox,6.235,13.745
female fox,6.518,14.371
juvenile fox,5.292,11.667
mature fox,5.882,12.968
average coyote,13.422,29.59
adult coyote,16.551,36.489
young coyote,14.077,31.034
fully grown coyote,14.789,32.605
wild coyote,17.247,38.023
healthy coyote,16.585,36.564
male coyote,17.142,37.792
female coyote,14.791,32.608
juvenile coyote,14.947,32.952
mature coyote,16.033,35.346
average sheep,79.497,175.261
adult sheep,74.985,165.313
young sheep,77.691,171.279
fully grown sheep,71.516,157.666
wild sheep,77.048,169.862
healthy sheep,91.721,202.211
male sheep,91.036,200.699
female sheep,83.047,183.088
juvenile sheep,79.984,176.334
mature sheep,76.123,167.824
average goat,52.604,115.973
adult goat,55.902,123.242
young goat,65.076,143.469
fully grown goat,66.613,146.856
wild goat,57.504,126.774
healthy goat,65.148,143.628
male goat,64.948,143.186
female goat,63.503,140
juvenile goat,62.952,138.786
mature goat,64.673,142.581
average pig,115.084,253.716
adult pig,127.361,280.783
young pig,112.111,247.162
fully grown pig,119.485,263.419
wild pig,129.711,285.964
healthy pig,126.872,279.704
male pig,112.579,248.193
female pig,136.04,299.916
juvenile pig,125.389,276.435
mature pig,122.904,270.956
average cow,554.758,1223.033
adult cow,659.163,1453.206
young cow,601.385,1325.827
fully grown cow,683.47,1506.794
wild cow,642.773,1417.072
healthy cow,711.753,1569.146
male cow,678.75,1496.388
female cow,708.037,1560.955
juvenile cow,620.337,1367.61
mature cow,678.092,1494.938
average horse,535.674,1180.959
adult horse,549.228,1210.841
young horse,477.507,1052.722
fully grown horse,551.432,1215.699
wild horse,555.487,1224.639
healthy horse,528.251,1164.593
male horse,571.418,1259.762
female horse,568.477,1253.278
juvenile horse,502.721,1108.31
mature horse,504.401,1112.014
average donkey,359.941,793.533
adult donkey,440.394,970.904
young donkey,452.486,997.56
fully grown donkey,397.269,875.828
wild donkey,422.971,932.492
healthy donkey,426.362,939.968
male donkey,427.642,942.79
female donkey,360.619,795.029
juvenile donkey,433.645,956.023
mature donkey,409.701,903.237
average deer,94.47,208.271
adult deer,87.861,193.701
young deer,93.341,205.781
fully grown deer,97.417,214.768
wild deer,93.695,206.563
healthy deer,95.951,211.536
male deer,77.246,170.298
female deer,80.821,178.179
juvenile deer,88.409,194.908
mature deer,94.053,207.352
average elk,293.028,646.015
adult elk,337.852,744.836
young elk,332.563,733.176
fully grown elk,276.019,608.517
wild elk,317.272,699.465
healthy elk,293.719,647.54
male elk,277.198,611.116
female elk,284.819,627.917
juvenile elk,302.466,666.823
mature elk,289.429,638.081
average moose,408.604,900.817
adult moose,387.314,853.881
young moose,445.32,981.762
fully grown moose,433.84,956.454
wild moose,465.092,1025.353
healthy moose,462.172,1018.915
male moose,414.609,914.057
female moose,504.43,1112.077
juvenile moose,382.589,843.465
mature moose,437.226,963.918
average bear,252.061,555.699
adult bear,262.713,579.184
young bear,238.821,526.51
fully grown bear,296.841,654.422
wild bear,259.784,572.726
healthy bear,232.421,512.401
male bear,279.199,615.528
female bear,237.181,522.894
juvenile bear,273.663,603.323
mature bear,256.989,566.564
average lion,194.611,429.044
adult lion,216.123,476.47
young lion,208.156,458.905
fully grown lion,185.389,408.712
wild lion,207.84,458.21
healthy lion,198.111,436.76
male lion,182.558,402.472
female lion,169.6,373.905
juvenile lion,195.468,430.934
mature lion,193.64,426.903
average tiger,250.176,551.544
adult tiger,250.888,553.113
young tiger,227.168,500.82
fully grown tiger,210.174,463.354
wild tiger,245.969,542.268
healthy tiger,187.063,412.402
male tiger,194.123,427.967
female tiger,224.344,494.593
juvenile tiger,227.601,501.775
mature tiger,196.286,432.737
average zebra,363.593,801.585
adult zebra,391.085,862.194
young zebra,336.964,742.879
fully grown zebra,342.827,755.804
wild zebra,321.265,708.269
healthy zebra,328.107,723.352
male zebra,399.608,880.984
female zebra,337.377,743.789
juvenile zebra,398.42,878.365
mature zebra,393.443,867.394
average giraffe,822.994,1814.392
adult giraffe,742.358,1636.619
young giraffe,915.435,2018.189
fully grown giraffe,799.113,1761.743
wild giraffe,779.718,1718.984
healthy giraffe,756.597,1668.01
male giraffe,916.226,2019.933
female giraffe,798.021,1759.335
juvenile giraffe,748.736,1650.679
