chart_week,title,performer
2022-01-01,All I Want For Christmas Is You,Mariah Carey
2022-01-15,Easy On Me,Adele
2022-02-05,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
2022-03-12,Heat Waves,Glass Animals
2022-04-16,As It Was,Harry Styles
2022-04-23,First Class,Jack Harlow
2022-05-14,Wait For U,Future Featuring Drake & Tems
2022-07-02,Jimmy Cooks,Drake Featuring 21 Savage
2022-07-30,About Damn Time,Lizzo
2022-08-13,Break My Soul,Beyonce
2022-08-27,Super Freaky Girl,Nicki Minaj
2022-10-08,Bad Habit,Steve Lacy
2022-10-29,Unholy,Sam Smith & Kim Petras
2022-11-05,Anti-Hero,Taylor Swift
2023-01-28,Flowers,Miley Cyrus
2023-03-11,Die For You,The Weeknd & Ariana Grande
2023-03-18,Last Night,Morgan Wallen
2023-04-08,Like Crazy,Jimin
2023-04-29,Kill Bill,SZA
2023-07-15,Vampire,Olivia Rodrigo
2023-07-29,Seven,Jung Kook Featuring Latto
2023-08-05,Try That In A Small Town,Jason Aldean
2023-08-26,Rich Men North Of Richmond,Oliver Anthony Music
2023-09-09,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
2023-09-16,Paint The Town Red,Doja Cat
2023-09-30,Slime You Out,Drake Featuring SZA
2023-10-21,First Person Shooter,Drake Featuring J. Cole
2023-10-28,Cruel Summer,Taylor Swift
2023-11-11,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
2023-12-02,Lovin On Me,Jack Harlow
2023-12-09,Rockin' Around The Christmas Tree,Brenda Lee
2024-01-27,"Yes, And?",Ariana Grande
2024-02-10,Hiss,Megan Thee Stallion
2024-03-02,Texas Hold 'Em,Beyonce
2024-03-16,Carnival,¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
2024-03-23,We Can't Be Friends (Wait For Your Love),Ariana Grande
2024-03-30,Lose Control,Teddy Swims
2024-04-06,Like That,"Future, Metro Boomin & Kendrick Lamar"
2024-04-27,Too Sweet,Hozier
2024-05-04,Fortnight,Taylor Swift Featuring Post Malone
2024-05-18,Not Like Us,Kendrick Lamar
2024-05-25,I Had Some Help,Post Malone Featuring Morgan Wallen
1958-08-04,Poor Little Fool,Ricky Nelson
1958-08-18,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno
1958-08-25,Little Star,The Elegants
1958-09-29,It's All In The Game,Tommy Edwards
