item,weight_kg,weight_lbs
glue stick,0.098,0.216
sticky note,0.053,0.117
horse,3106.279,6848.173
blueberries,0.919,2.026
canoe,30.134,66.434
whale,13122.426,28929.997
rice bag,0.033,0.073
sticky notes pad,0.152,0.335
chocolate bar,0.005,0.011
eraser,0.005,0.011
rain jacket,0.738,1.627
marker,0.071,0.157
laundry basket,16.452,36.27
router,0.491,1.082
egg,0.185,0.408
couch,813.829,1794.186
cheese slice,0.126,0.278
ferry,31597.16,69659.814
gloves,0.893,1.969
belt,0.209,0.461
hole punch,0.389,0.858
calculator watch,0.3,0.661
tea box,2.172,4.788
fork,0.73,1.609
excavator,7371.805,16252.048
pasta box,0.064,0.141
butter pat,0.169,0.373
cookie sheet,0.468,1.032
rolling pin,0.56,1.235
cat,5.891,12.987
pig,5.794,12.774
pair of skis,0.546,1.204
clipboard,0.148,0.326
ceiling fan,134.955,297.525
helicopter,15900.415,35054.415
scarf,0.573,1.263
paper shredder,0.005,0.011
cracker,0.243,0.536
hockey stick,0.589,1.299
garden hose,65.647,144.727
file box,1.225,2.701
broccoli,0.052,0.115
pepper grinder,0.98,2.161
dump truck,6113.703,13478.408
towel,4.304,9.489
whiteboard marker,0.147,0.324
key ring,0.165,0.364
airplane,29061.82,64070.346
trash can,65.581,144.581
peach,0.119,0.262
thumbtack,0.543,1.197
salt shaker,0.819,1.806
snow blower,9.049,19.95
packing tape,0.083,0.183
beanie,4.209,9.279
lamp,3.39,7.474
cookie,0.006,0.013
dining table,310.575,684.701
sweater,0.779,1.717
tool belt,29.047,64.038
paper folder,0.186,0.41
tennis racket,2.23,4.916
wardrobe,376.28,829.555
king mattress,242.21,533.982
table,19.868,43.801
baking sheet,2.187,4.822
school van,305.216,672.886
book,15.309,33.751
charging cable,0.381,0.84
small boat,2735.231,6030.152
mop,0.219,0.483
sharpener,0.49,1.08
cargo ship,14462.964,31885.378
sd card,1.441,3.177
spatula,1.118,2.465
battery pack,3.95,8.708
sticky tape,0.056,0.123
toaster,1.772,3.907
wallet,0.407,0.897
